obra,pagina,termo,categoria_auto,gatilho_detectado,contexto_antes,trecho_central,contexto_depois,categoria_final,justificativa
latour_1999_recalling_bis,1,alliance,metalinguistico,"indicador_meta=1, tar=4","world-building capacities. The ridiculous poverty of the ANT vocabulary—association, translation,",alliance,"obligatory passage point, etc.—was a clear signal that none of",metalinguistico,"automatico: indicador_meta=1, tar=4"
latour_1999_recalling_bis,1,wars,descritivo_historico,casa 'Science Wars',"which it derived, mentioned social constructivism and the recent Science",Wars,Clearly the treatment of the collective of scientific reality as,descritivo_historico,automatico: casa 'Science Wars'
