obra,pagina,estrato,classe_predita,qualidade_predita,n_palavras_pagina,trecho_inicio,trecho_meio,trecho_fim,estrato_correto,classe_correta,erro_extracao,decisao_metodologica
latour_1987_science_action_en,1,inicio_capitulo,inicio_capitulo,boa,307,Contents ...................................................................................................................................... 4 Acknowledgements .................................................................................................................... ...,.......... 148 CHAPTER 4. Insiders Out ..................................................................................................... 161 Part A. Interesting others in the laboratories ...................................................................... 162 Part B. Count...,......................... 286 Chapter 5 ............................................................................................................................ 288 Chapter 6 ........................................................................................................,,,,
latour_1987_science_action_en,2,corpo,corpo,boa,78,"SCIENCE IN ACTION How to follow scientists and engineers through society Bruno Latour Harvard University Press Cambridge, Massachusetts Copyright (c) 1987 by Bruno Latour All rights reserved Printed in the United States of America Eleventh printing, 2003 Library of Congress Catal...",paper),"SCIENCE IN ACTION How to follow scientists and engineers through society Bruno Latour Harvard University Press Cambridge, Massachusetts Copyright (c) 1987 by Bruno Latour All rights reserved Printed in the United States of America Eleventh printing, 2003 Library of Congress Catal...",,,,
latour_1987_science_action_en,3,corpo,corpo,boa,9,"To Michel Callon, this outcome of a seven-year discussion","To Michel Callon, this outcome of a seven-year discussion","To Michel Callon, this outcome of a seven-year discussion",,,,
latour_1987_science_action_en,307,paratexto,paratexto,boa,107,"logging 226, 255 logical, 204-205, consequence of a text 58, breach from logic 191 et seq., from form to content 196-202 logistics 234 et seq. Luria S. 196-197 Lyell C. 146 et seq., 157 Machiavelli 124-125, 128 machine 129 et seq., 253 et seq. Marey J. 92, 230 mathematics 237 et ...",", 204-205, consequence of a text 58, breach from logic 191 et seq., from form to content 196-202 logistics 234 et seq. Luria S. 196-197 Lyell C. 146 et seq., 157 Machiavelli 124-125, 128 machine 129 et seq., 253 et seq. Marey J. 92, 230 mathematics 237 et seq. Mead M. 84, 109-110...","a text 58, breach from logic 191 et seq., from form to content 196-202 logistics 234 et seq. Luria S. 196-197 Lyell C. 146 et seq., 157 Machiavelli 124-125, 128 machine 129 et seq., 253 et seq. Marey J. 92, 230 mathematics 237 et seq. Mead M. 84, 109-110 Mendeleev 235-236, 241-24...",,,,
latour_1987_science_action_en,221,paratexto,paratexto,boa,584,"In the examples above, each conflict about what is associated to what traces what the world of the other people is made of. We do not have on the one hand 'knowledge' and on the other 'society'. We have many trials of strength through which are revealed which link is solid and wh...","is that 'flifli' has not got a chance of surviving if the girl is to live with English-speaking people. Bulmer, in the second story, is doing exactly the same thing as the little girl. He is learning both the Karam's language and society by testing the strength of the association...",made kobtiy stand apart from all the birds - especially because other New Guinea tribes were putting it in the category of birds like all Western taxonomists. But he slowly learned that so much was attached to this animal by the Karam that they could not change their taxonomy wit...,,,,
latour_1987_science_action_en,20,paratexto,paratexto,boa,449,"'Of course,' says the left side of Janus, 'everyone is convinced because Jim and Francis stumbled on the right structure. The DNA shape itself is enough to rally everyone.' 'No, says the right side, every time someone else is convinced it progressively becomes a more right struct...","appear strong once the structure is blackboxed. As long as it is not, Jim and Francis are still struggling to recruit them, modifying the DNA structure until everyone is satisfied. When they are through, they will follow the advice of Janus's right side. As long as they are still...","ys missing to close the black box once and for all. Until the last minute Eagle can fail if West is not careful enough to keep the Software people interested, to maintain the pressure on the debugging crew, to advertise the machine to the marketing department. (3) The first rule ...",,,,
latour_1987_science_action_en,72,qualidade_baixa,qualidade_baixa,baixa,26,2. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,2. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,,,,
latour_1987_science_action_en,314,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
