feature,chi2,p,n_target,n_reference,sign
forest,2454.2600403655542,0,97,13,positive
soil,1525.0666088926814,0,66,15,positive
rene,1113.3409932950312,0,42,3,positive
edileusa,672.5763994531122,0,25,1,positive
savanna,643.4256514216,0,24,1,positive
color,632.9584573721503,0,27,5,positive
vista,604.6527547328233,0,26,5,positive
boa,537.3565258253741,0,25,7,positive
hole,484.4231708425289,0,21,4,positive
savan,467.51747170758307,0,17,0,positive
pedocomparator,445.53571179913536,0,21,6,positive
armand,439.7172079028047,0,17,1,positive
pedologist,418.16102207229125,0,20,6,positive
earth,364.75530347237947,0,35,51,positive
tree,333.2431629865086,0,18,8,positive
sandy,321.43154147231206,0,12,0,positive
heloisa,292.23632607726,0,11,0,positive
coordinate,280.2347771497617,0,13,3,positive
plant,279.27586922415196,0,24,29,positive
botanist,272.8446597702347,0,14,5,positive
sample,265.4857750322561,0,28,46,positive
clayey,263.0533137514209,0,10,0,positive
cube,263.0533137514209,0,10,0,positive
site,251.37003282236284,0,21,24,positive
horizon,225.14733565964258,0,11,3,positive
earthworm,208.8058136843199,0,9,1,positive
transition,205.9157529283559,0,15,13,positive
figure,201.55149378101217,0,61,309,positive
expedition,196.1276441135486,0,19,27,positive
depth,194.6440824898299,0,12,7,positive
notebook,190.32277830576297,0,15,15,positive
worm,188.29148705330155,0,9,2,positive
clay,182.5195693066621,0,10,4,positive
manaus,180.33453665830555,0,8,1,positive
suitcase,175.62828210602592,0,7,0,positive
transect,175.62828210602592,0,7,0,positive
specimen,170.5555826592082,0,13,12,positive
restaurant,169.10863756190568,0,10,5,positive
bag,160.8156468906031,0,8,2,positive
topofil,160.8156468906031,0,8,2,positive
tags,152.0591422643737,0,7,1,positive
pedology,151.4414237793249,0,11,9,positive
clod,146.56179796743507,0,6,0,positive
cardboard,144.36143451715924,0,9,5,positive
finger,144.36143451715924,0,9,5,positive
code,140.03185103792094,0,15,24,positive
sandoval,133.73516933598032,0,7,2,positive
beneath,129.6175533009227,0,10,9,positive
cartesian,124.06342901422205,0,6,1,positive
munsell,124.06342901422205,0,6,1,positive
