feature,chi2,p,n_target,n_reference,sign
engine,171.6436971719657,0,119,7,positive
inside,158.56222948063757,0,147,28,positive
people,153.38757467444464,0,384,236,positive
black,153.05461245098368,0,148,31,positive
diesel,152.44377608386972,0,95,1,positive
dissenter,152.23512152979796,0,109,8,positive
box,125.90208608487472,0,121,25,positive
ally,124.41777284249292,0,99,12,positive
may,123.76191957828694,0,273,154,positive
many,120.17428257212819,0,362,248,positive
technoscience,116.91120191351968,0,89,9,positive
build,112.55605341849044,0,103,19,positive
element,110.49135086102163,0,150,54,positive
company,109.69401129951159,0,79,6,positive
tie,103.34647662372063,0,97,19,positive
boss,102.87332275419475,0,82,10,positive
centre,98.35435245632893,0,72,6,positive
seq,83.74782000124925,0,51,0,positive
trial,82.51932058062731,0,100,31,positive
instrument,77.27327862152703,0,121,51,positive
shape,76.42162249008602,0,93,29,positive
machine,74.40252018494856,0,108,42,positive
joliot,72.36267412663628,0,69,14,positive
travel,72.31294210494168,0,61,9,positive
network,71.12009730596388,0,133,66,positive
lyell,70.34272129386675,0,45,1,positive
part,70.17459841056746,0,222,156,positive
fuel,68.79590758854427,1.1102230246251565e-16,50,4,positive
interested,67.11009264034854,2.220446049250313e-16,77,22,positive
west,65.389266265759,6.661338147750939e-16,46,3,positive
bring,63.752024721626185,1.4432899320127035e-15,109,50,positive
weather,62.14179688143352,3.219646771412954e-15,40,1,positive
ship,62.06726643284191,3.3306690738754696e-15,42,2,positive
get,61.06810607769466,5.551115123125783e-15,143,84,positive
together,61.06028225288763,5.551115123125783e-15,120,62,positive
engineers,60.48997398689112,7.438494264988549e-15,71,21,positive
controversy,60.04217062187573,9.325873406851315e-15,140,82,positive
text,59.996664756487405,9.547918011776346e-15,143,85,positive
new,58.85367196884268,1.6986412276764895e-14,426,415,positive
bell,58.04697649531482,2.5646151868841116e-14,55,11,positive
boxe,57.168380876334815,3.9968028886505635e-14,39,2,positive
time,55.94415200334264,7.460698725481052e-14,319,288,positive
first,55.68645101257394,8.504308368628699e-14,282,244,positive
resource,55.674927170109825,8.548717289613705e-14,111,58,positive
keep,55.32832241214281,1.0202949596305189e-13,102,50,positive
back,54.81625486647971,1.3233858453531866e-13,140,87,positive
lab,54.34697272516584,1.680877659282487e-13,57,14,positive
still,54.09230162011165,1.9129142714291447e-13,151,99,positive
joao,53.94449804457956,2.0627943797535409e-13,35,1,positive
strength,53.71451726626917,2.318145675417327e-13,58,15,positive
