feature,chi2,p,n_target,n_reference,sign
press,4329.566197640763,0,121,26,positive
university,2739.824781398092,0,96,48,positive
york,2090.606824653661,0,57,10,positive
london,1802.1639313813303,0,48,7,positive
paris,1644.5571106791251,0,62,37,positive
chicago,1379.404154473076,0,35,3,positive
cambridge,1161.724641814338,0,42,22,positive
des,916.4273446574788,0,28,8,positive
routledge,663.259567978046,0,16,0,positive
princeton,578.5701162220329,0,15,1,positive
seuil,530.7093910918961,0,13,0,positive
harvard,524.4423154813551,0,16,4,positive
kegan,486.5455970506097,0,12,0,positive
science,455.7944782658752,0,142,1166,positive
les,447.3558296551611,0,12,1,positive
knorr,337.464949960258,0,17,17,positive
paul,336.72880691402565,0,12,5,positive
social,329.8195101283505,0,71,433,positive
macmillan,310.08106841448574,0,8,0,positive
sociology,307.9585816829073,0,26,58,positive
vol,273.9675454617095,0,8,1,positive
baltimore,266.05230802483334,0,7,0,positive
gallimard,266.05230802483334,0,7,0,positive
sciences,257.1900297432658,0,25,66,positive
elkana,231.17774709225657,0,7,1,positive
michael,231.17774709225657,0,7,1,positive
boston,222.0929116009541,0,6,0,positive
dordrecht,222.0929116009541,0,6,0,positive
karin,222.0929116009541,0,6,0,positive
newsletter,222.0929116009541,0,6,0,positive
reidel,222.0929116009541,0,6,0,positive
oxford,212.91357972774568,0,10,8,positive
american,194.22581950404575,0,13,20,positive
bowers,188.80146546483607,0,6,1,positive
histoire,188.80146546483607,0,6,1,positive
bruno,185.10736588113053,0,8,5,positive
cetina,182.36688076294888,0,7,3,positive
eds,178.24417746598243,0,5,0,positive
harper,178.24417746598243,0,5,0,positive
hopkins,178.24417746598243,0,5,0,positive
hypothalamique,178.24417746598243,0,5,0,positive
johns,178.24417746598243,0,5,0,positive
krohn,178.24417746598243,0,5,0,positive
mendelsohn,178.24417746598243,0,5,0,positive
sociale,178.24417746598243,0,5,0,positive
review,149.1390945780495,0,14,34,positive
scientifique,147.04519223371284,0,5,1,positive
perspectife,144.42789963785233,0,6,3,positive
williams,144.42789963785233,0,6,3,positive
forthcome,141.73568661487874,0,10,16,positive
