feature,chi2,p,n_target,n_reference,sign
laboratory,689.5772562149834,0,661,322,positive
trf,523.7197072847216,0,237,12,positive
statement,402.31455308024823,0,330,130,positive
activity,397.7938285329244,0,242,53,positive
participant,340.4283257072309,0,146,3,positive
guillemin,301.50239742270526,0,173,32,positive
observer,295.8677648286608,0,177,37,positive
substance,279.72967311225295,0,223,84,positive
papers,278.2278872173337,0,202,65,positive
schally,271.05121370213453,0,171,41,positive
credit,262.88942060514205,0,130,13,positive
particular,253.16153038805032,0,136,20,positive
field,231.25042584512047,0,186,71,positive
example,224.59766696298266,0,226,116,positive
peptide,211.3987912342912,0,96,5,positive
credibility,208.188546504082,0,101,9,positive
assay,207.34676521227925,0,119,22,positive
discussion,193.1668920299905,0,153,57,positive
life,186.1549670775535,0,178,86,positive
citation,181.9520586599392,0,90,9,positive
amino,168.08241924051174,0,78,5,positive
structure,158.6957347472849,0,140,61,positive
device,154.1150478804663,0,88,16,positive
analysis,151.80976567100714,0,87,16,positive
factor,140.5099082195022,0,117,47,positive
observation,137.1474595358801,0,78,14,positive
inscription,136.10976999161218,0,134,67,positive
argument,134.8191586632807,0,145,80,positive
production,131.8593078242321,0,96,31,positive
article,131.09573876498496,0,149,87,positive
account,124.97616165936964,0,158,102,positive
disorder,123.77893244086496,0,64,8,positive
term,123.35689499173333,0,180,131,positive
scientist,120.85452307747137,0,374,423,positive
member,119.25925538431036,0,74,17,positive
construction,119.19130232210996,0,148,94,positive
work,118.7012421364843,0,331,357,positive
technician,118.08053020711513,0,63,9,positive
exchange,117.84283082422614,0,77,20,positive
operation,115.24179500403676,0,77,21,positive
investment,111.76720201193814,0,56,6,positive
use,111.49993841982024,0,348,395,positive
group,111.23842108695158,0,163,119,positive
material,110.86714348495796,0,115,61,positive
result,107.49200330851097,0,145,99,positive
wilson,106.1157808609772,0,49,3,positive
programme,104.95540685751526,0,56,8,positive
item,104.71198625119975,0,50,4,positive
trh,104.01800132474844,0,43,0,positive
cite,103.43824196724485,0,51,5,positive
