feature,chi2,p,n_target,n_reference,sign
socrates,578.2189944887357,0,209,4,positive
human,475.76175394667666,0,239,53,positive
nonhuman,417.97777849949824,0,171,16,positive
politics,301.2558096330438,0,146,29,positive
callicle,265.57794579837076,0,93,0,positive
ferment,255.3750845090823,0,99,6,positive
collective,189.35247908739197,0,103,28,positive
pasteur,183.73478230265266,0,141,70,positive
modernist,179.87508824935608,0,63,0,positive
callicles,177.0188604598325,0,62,0,positive
lactic,160.82773206336472,0,58,1,positive
settlement,151.48118431666867,0,69,11,positive
political,150.44431489526576,0,89,29,positive
gun,148.51888684659386,0,64,8,positive
fermentation,145.016581868226,0,60,6,positive
factish,142.74681416235694,0,50,0,positive
action,135.98736718630576,0,138,94,positive
entity,132.0249891374187,0,94,42,positive
politic,129.43336353070583,0,47,1,positive
morality,125.6126511536305,0,44,0,positive
fetish,119.90153902711538,0,42,0,positive
gorgias,117.04603462537757,0,41,0,positive
history,114.01147031576187,0,138,110,positive
thing,112.79484783657529,0,190,192,positive
tion,112.05581994861862,0,88,45,positive
world,110.25604646473363,0,215,237,positive
reason,110.08702469214752,0,119,86,positive
subject,107.36777157323355,0,79,37,positive
body,100.24452927344129,0,86,49,positive
god,99.3902297648422,0,45,7,positive
iconoclast,97.0584681034288,0,34,0,positive
mediation,95.71472813158756,0,53,15,positive
humanity,95.05858622971478,0,38,3,positive
plato,91.04427484646648,0,38,4,positive
actor,90.90538859362248,0,76,42,positive
mob,88.49288471522901,0,31,0,positive
con,87.94252162936715,0,50,15,positive
historicity,86.58289079367357,0,35,3,positive
pouchet,85.52332408411452,0,48,14,positive
artifact,82.29350532426302,0,40,8,positive
belief,79.67032388446576,0,104,88,positive
athens,79.41483694332614,0,31,2,positive
agora,77.07258893672225,0,27,0,positive
reality,76.15101320171352,0,100,85,positive
yeast,75.35400321801349,0,43,13,positive
moral,75.25266393906799,0,28,1,positive
yopasteu,74.23913299424305,0,55,26,positive
touch,73.35490571097007,0,33,5,positive
property,72.96928457962774,0,49,20,positive
agent,72.63654145266739,0,45,16,positive
